,Id,Capacity,Specialist room type,Campus
188,0450_03_3.62,12,General Teaching,Central
189,0450_03_3.63,8,General Teaching,Central
191,0103_01_1.B04,20,General Teaching,Central
192,0103_01_1.B09,16,General Teaching,Central
193,0103_01_1.B10,20,General Teaching,Central
194,0103_01_1.B15,16,General Teaching,Central
195,0103_01_1.B19,20,General Teaching,Central
196,0103_03_3.D02,40,General Teaching,Central
198,0311_02_2.01,22,General Teaching,Central
200,0311_02_2.05,31,General Teaching,Central
201,0311_02_2.13,80,General Teaching,Central
202,0311_04_4.08,14,General Teaching,Central
203,0311_04_4.09,16,General Teaching,Central
204,0225_02_2.201,458,General Teaching,Central
205,0300_00_NG.01,36,General Teaching,Central
206,0300_00_NG.02,36,General Teaching,Central
207,0300_00_NG.03,16,General Teaching,Central
208,0300_00_NG.04,16,General Teaching,Central
209,0335_00_G.01,120,General Teaching,Central
210,0335_00_G.09,32,General Teaching,Central
211,0335_00_G.10,32,General Teaching,Central
212,0335_00_G.12,17,General Teaching,Central
213,0335_00_G.13,48,General Teaching,Central
214,0335_00_G.17,14,General Teaching,Central
215,0335_01_1.1,25,General Teaching,Central
217,0335_01_1.2,44,General Teaching,Central
218,0335_01_1.3,30,General Teaching,Central
219,0335_01_1.4,16,General Teaching,Central
220,0335_01_1.9,32,General Teaching,Central
221,0335_02_2.1,25,General Teaching,Central
223,0335_02_2.18,16,General Teaching,Central
224,0335_02_2.2,44,General Teaching,Central
225,0335_02_2.3,40,General Teaching,Central
226,0335_02_2.4,16,General Teaching,Central
227,0335_03_3.1,25,General Teaching,Central
228,0335_03_3.2,40,General Teaching,Central
229,0335_03_3.3,40,General Teaching,Central
230,0335_03_3.4,16,General Teaching,Central
231,0335_04_4.1,30,General Teaching,Central
232,0335_04_4.2,32,General Teaching,Central
233,0335_04_4.3,60,General Teaching,Central
234,0335_05_5.1,25,General Teaching,Central
235,0335_05_5.2,32,General Teaching,Central
236,0335_05_5.3,50,General Teaching,Central
237,0113_00_G.03,50,General Teaching,Central
238,0113_00_G.07,170,General Teaching,Central
239,0113_00_G.09,15,General Teaching,Central
240,0113_00_G.10,15,General Teaching,Central
241,0113_00_G.11,15,General Teaching,Central
242,0113_00_G.12,15,General Teaching,Central
243,0113_00_G.13,26,General Teaching,Central
244,0113_00_G.14,26,General Teaching,Central
245,0113_00_G.15,29,General Teaching,Central
246,0113_00_G.152,200,General Teaching,Central
247,0113_00_G.16,45,General Teaching,Central
248,0113_00_G.199,8,General Teaching,Central
249,0113_00_G.200,16,General Teaching,Central
250,0113_00_G.202B,12,General Teaching,Central
251,0113_00_G.203,20,General Teaching,Central
252,0113_00_G.204,20,General Teaching,Central
253,0113_00_G.205,14,General Teaching,Central
255,0113_01_1.26,10,General Teaching,Central
256,0113_01_1.416,40,General Teaching,Central
257,0113_01_1.42,20,General Teaching,Central
258,0113_01_1.425,260,General Teaching,Central
259,0113_01_1.434,28,General Teaching,Central
261,0113_01M_01M.19,14,General Teaching,Central
262,0113_01M_01M.20,12,General Teaching,Central
263,0113_01M_01M.27,12,General Teaching,Central
266,0113_01M_01M.469,40,General Teaching,Central
267,0113_01M_01M.473,48,General Teaching,Central
268,0113_01M_01M.474,10,General Teaching,Central
269,0113_02_2.26,12,General Teaching,Central
270,0113_02_2.27,12,General Teaching,Central
273,0113_02M_02M.24,10,General Teaching,Central
274,0113_03_3.3,10,General Teaching,Central
275,0008_00_G.251,24,General Teaching,Central
276,0008_00_G.252,16,General Teaching,Central
281,0008_02_2.365,16,General Teaching,Central
282,0008_02_2.403,45,General Teaching,Central
286,0008_-1_B.152,14,General Teaching,Central
287,0008_-1_B.153,15,General Teaching,Central
288,0008_-1_B.154,15,General Teaching,Central
291,0001_00_G.158,30,General Teaching,Central
292,0001_00_G.159,108,General Teaching,Central
293,0001_01_1.264,150,General Teaching,Central
294,0001_01_1.265,22,General Teaching,Central
295,0001_01_1.266,24,General Teaching,Central
296,0001_01_1.267,26,General Teaching,Central
297,0001_01_1.270,16,General Teaching,Central
298,0001_01_1.273,22,General Teaching,Central
299,0001_01_1.274,22,General Teaching,Central
300,0001_01_1.275,30,General Teaching,Central
302,0001_02_2.343,16,General Teaching,Central
303,0001_02_2.345,16,General Teaching,Central
304,0001_02_2.347,16,General Teaching,Central
305,0001_02_2.349,16,General Teaching,Central
306,0001_02_2.351,16,General Teaching,Central
307,0313_00_G.10,36,General Teaching,Central
309,0210_00_G.04,139,General Teaching,Central
614,0201_00_G.06,193,General Teaching,Central
615,0201_00_G.07,194,General Teaching,Central
616,0201_00_G.08,193,General Teaching,Central
617,0201_01_1.06,300,General Teaching,Central
618,0201_01_1.08,307,General Teaching,Central
619,0422_J_J.03,60,General Teaching,Central
620,0422_J_J.05,60,General Teaching,Central
