Module_A,Module_B,Clash_Count
CIVE08026,MECE08013,154
MECE08013,SCEE08010,154
MECE08013,SCEE08015,154
MECE08014,SCEE08009,153
MECE08013,SCEE08014,153
MECE08013,SCEE08003,153
PHYS09060,PHYS09061,152
MECE08013,SCEE08009,152
MATH08075,SCEE08020,152
MATH08074,SCEE08020,152
ELEE08016,SCEE08014,152
MATH08074,SCEE08012,151
MATH08075,SCEE08012,151
SCEE08012,SCEE08020,150
BILG08018,BILG08026,149
PHYS09056,PHYS09061,149
PHYS09055,PHYS09060,148
PHYS09055,PHYS09061,148
PHYS09055,PHYS09056,148
PHYS09056,PHYS09060,148
ELEE08016,SCEE08008,145
PHIL08004,PHIL08015,145
LAWS08123,LAWS08128,144
BILG08018,BILG08024,144
CHEM08022,CHEM08023,144
BUST08035,BUST08036,142
HIAR08027,HIAR08028,142
INFR08025,MATH08057,140
PHYS09053,PHYS09060,140
CIVE08020,SCEE08015,138
EDUA11363,REDU11083,137
INFR08025,MATH08058,137
BILG08025,BIME08007,136
INFR09051,INFR10067,136
REDU11045,REDU11083,136
INFR09051,INFR10022,135
INFR08029,MATH08057,134
INFR08029,MATH08058,134
REDU11046,REDU11083,134
PHYS09053,PHYS09061,133
PHYS08016,PHYS08036,133
PHYS08035,PHYS08036,133
ELEE08015,SCEE08008,132
EDUA11363,REDU11046,132
ELCC10013,ELCF10002,132
EDUA11363,REDU11045,132
BILG08020,BILG08023,131
ELEE08022,SCEE08014,131
MECE09034,SCEE09001,131
MECE09034,SCEE09002,131
EDUA11187,REDU11083,131
SCEE09001,SCEE09002,130
ELEE08015,SCEE08014,130
MECE09026,SCEE09002,130
MECE09026,SCEE09001,130
MECE09034,MECE09036,130
MECE09026,MECE09036,130
HIST08032,HIST08035,130
ELEE08022,SCEE08008,130
MECE09026,MECE09034,130
MECE09036,SCEE09001,130
LAWS08123,LAWS08125,129
LAWS08125,LAWS08128,129
PHYS09053,PHYS09056,129
ENLI10423,ENLI10424,129
MECE09036,SCEE09002,129
INFR10022,INFR10067,129
PHYS09053,PHYS09055,129
BUST08018,BUST08030,129
EDUA11187,REDU11046,128
EDUA11187,REDU11045,128
ELEE08021,SCEE08010,128
ELEE08020,SCEE08015,127
SCIL08012,SCIL08013,126
ELEE08020,SCEE08010,126
LAWS08125,LAWS08139,126
INFR08010,INFR08026,126
LAWS11251,LAWS11252,125
BILG08026,BIME08007,125
LAWS11249,LAWS11251,125
LAWS11252,LAWS11310,125
LAWS11249,LAWS11252,125
ELEE08020,SCEE08009,125
ELEE08021,SCEE08009,125
LAWS11251,LAWS11310,125
LAWS11249,LAWS11310,125
LAWS08128,LAWS08139,124
LAWS08123,LAWS08139,124
ELEE08021,SCEE08015,124
LAWS11250,LAWS11253,123
PHYS10099,PHYS11011,123
LAWS08127,LAWS08128,123
LAWS11250,LAWS11254,123
LAWS11253,LAWS11254,123
ELEE08016,ELEE08020,123
BILG08018,BIME08012,122
EDUA11187,EDUA11363,122
ELCC10015,ELCH10026,121
LAWS08119,LAWS08131,121
LAWS08119,LAWS08142,121
PLIT08008,PLIT08009,121
LAWS11252,LAWS11253,120
LAWS11251,LAWS11254,120
LAWS11250,LAWS11251,120
LAWS11253,LAWS11310,120
LAWS11249,LAWS11253,120
LAWS11250,LAWS11252,120
LAWS11250,LAWS11310,120
LAWS11249,LAWS11250,120
LAWS11249,LAWS11254,120
LAWS11251,LAWS11253,120
LAWS11254,LAWS11310,120
LAWS11252,LAWS11254,120
ELEE08020,ELEE08021,119
LAWS08119,LAWS08129,119
CHEM08019,CHEM08031,119
HIST08040,HIST08044,119
ELEE08015,ELEE08020,119
LAWS08126,LAWS08127,118
LAWS08119,LAWS08132,118
LAWS08119,LAWS08133,118
LAWS08127,LAWS08139,118
ELEE08015,ELEE08021,118
INFR08010,INFR08030,118
PHYS10096,PHYS10099,118
LAWS08125,LAWS08127,118
LAWS08126,LAWS08139,118
INFR11136,INFR11147,117
MECE08009,SCEE08016,117
MATH10067,MATH10068,117
LAWS08119,LAWS08141,117
ELEE08020,ELEE08022,117
LAWS08125,LAWS08126,117
LAWS08123,LAWS08127,116
LAWS08119,LAWS08130,116
LAWS08126,LAWS08128,116
LAWS08119,LAWS08134,116
LAWS08123,LAWS08126,115
ELEE08021,ELEE08022,115
MATH10066,MATH10068,115
ELEE08016,ELEE08021,114
CIVE08020,MECE08009,114
PHYS08017,PHYS08036,114
INFR08010,INFR08031,113
BVMS08038,BVMS08053,113
BUST10142,BUST10158,113
ELCH08018,ELCH08019,112
INFR08010,INFR08027,112
MECE08014,SCEE08016,112
PHYS10042,PHYS10099,112
CIVE08020,MECE08014,112
EDUA11347,REDU11045,112
ELCF08012,ELCF08013,112
EDUA11347,REDU11046,112
PHYS08016,PHYS08035,112
LAWS08119,LAWS08135,112
BVMS08051,BVMS08063,111
BVMS08056,BVMS08062,111
BVMS08056,BVMS08057,111
BVMS08051,BVMS08057,111
BVMS08051,BVMS08056,111
BVMS08051,BVMS08062,111
BVMS08062,BVMS08063,111
BVMS08056,BVMS08063,111
BVMS08057,BVMS08063,111
BVMS08057,BVMS08062,111
MECE08013,SCEE08016,110
BVMS08038,BVMS08052,110
BVMS08052,BVMS08061,110
BVMS08052,BVMS08053,110
BVMS08038,BVMS08061,110
BILG08021,BILG08022,110
BILG08022,BILG08023,110
CIVE08020,MECE08013,110
BILG08021,BILG08023,110
BVMS08053,BVMS08061,110
PHYS08016,PHYS08017,110
PHYS10042,PHYS11011,110
LAWS08118,LAWS08131,109
INFR08010,INFR08032,109
INFR09032,INFR10022,109
BILG08020,BILG08021,109
BILG08020,BILG08022,109
BILG08011,BILG08025,108
MATH10066,MATH10069,108
BUST10113,BUST10158,108
ARCH10003,ARCH10005,108
MECE09033,SCEE09001,108
MECE09033,MECE09036,108
MECE09034,SCEE09004,108
MECE09033,MECE09034,108
SCEE09002,SCEE09004,108
MECE09032,MECE09034,108
MECE09032,SCEE09001,108
MECE09030,MECE09034,108
MECE09032,MECE09036,108
MECE09032,MECE09033,108
MECE09026,MECE09032,108
MECE09026,MECE09033,108
INFR09032,INFR10067,107
MECE09030,SCEE09001,107
MECE09036,SCEE09004,107
MECE09033,SCEE09002,107
SCEE09001,SCEE09004,107
MECE09030,SCEE09004,107
MECE09030,SCEE09002,107
MECE09033,SCEE09004,107
INFR09032,INFR09051,107
MECE09032,SCEE09004,107
MECE09032,SCEE09002,107
MECE09030,MECE09036,107
MECE09030,MECE09033,107
MECE09030,MECE09032,107
PHYS10096,PHYS11011,107
MECE09026,MECE09030,107
MECE09026,SCEE09004,107
PLIT08009,PLIT08021,106
LAWS08118,LAWS08129,106
LAWS08118,LAWS08133,106
SCEE08003,SCEE08008,106
PHYS08017,PHYS08035,106
CIVE08023,SCEE08009,105
LAWS08118,LAWS08132,105
CIVE08026,SCEE08008,104
LAWS08118,LAWS08130,104
SCAN08005,SCAN08011,104
MATH10067,MATH10069,104
LAWS08118,LAWS08142,104
LAWS08118,LAWS08141,104
LAWS08118,LAWS08134,104
LAWS08118,LAWS08135,103
GEGR08015,GEGR08017,103
CIVE08023,SCEE08014,103
HIST08034,HIST08035,103
CIVE08023,SCEE08010,102
MECE08009,SCEE08008,101
BILG08026,CHEM08030,101
LASC08017,LASC08020,100
ELEE09035,SCEE09002,100
BILG08025,CHEM08030,100
PSYL10102,PSYL10131,99
PSYL10102,PSYL10150,99
CIVE08023,SCEE08003,99
PSYL10131,PSYL10150,99
MATH10093,MATH10095,99
PSYL10131,PSYL10174,99
MATH10068,MATH10069,99
BUST08008,BUST08056,99
ELEE09026,SCEE09002,99
BILG08024,CHEM08030,99
