Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus,Day,Start_Time,Time_Blocks,Session_ID
Moray House School of Education and Sport,EDUA08118,E:4XCIRDQL85-00001,Seminar,110,25.0,Thursday 13:00,3,34,0564_00_G4,Centrally Allocated Space,General Teaching,St Leonards Land,Holyrood,Thursday,13:00,2,E:4XCIRDQL85-00001_W34
Moray House School of Education and Sport,EDUA08118,E:4XCIRDQL85-00001,Seminar,110,25.0,Thursday 13:00,3,33,0564_00_G4,Centrally Allocated Space,General Teaching,St Leonards Land,Holyrood,Thursday,13:00,2,E:4XCIRDQL85-00001_W33
Moray House School of Education and Sport,EDUA08118,E:4XCIRDQL85-00001,Seminar,110,25.0,Thursday 13:00,3,32,0564_00_G4,Centrally Allocated Space,General Teaching,St Leonards Land,Holyrood,Thursday,13:00,2,E:4XCIRDQL85-00001_W32
Moray House School of Education and Sport,EDUA11248,E:31IVBG56TS,Workshop,110,25.0,Wednesday 11:00,9,13,0551_01_1.27,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,11:00,2,E:31IVBG56TS_W13
Moray House School of Education and Sport,EDUA11248,E:31IVBG56TS,Workshop,110,25.0,Wednesday 11:00,9,12,0551_01_1.27,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,11:00,2,E:31IVBG56TS_W12
"School of History, Classics and Archaeology",HIST10380,E:Q7JIU8Y9PK - 1,Seminar,110,25.0,Thursday 11:00,9,35,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,11:00,2,E:Q7JIU8Y9PK - 1_W35
"School of History, Classics and Archaeology",HIST10380,E:Q7JIU8Y9PK - 1,Seminar,110,25.0,Thursday 11:00,9,34,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,11:00,2,E:Q7JIU8Y9PK - 1_W34
"School of History, Classics and Archaeology",HIST10380,E:Q7JIU8Y9PK - 1,Seminar,110,25.0,Thursday 11:00,9,33,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,11:00,2,E:Q7JIU8Y9PK - 1_W33
"School of History, Classics and Archaeology",HIST10380,E:Q7JIU8Y9PK - 1,Seminar,110,25.0,Thursday 11:00,9,32,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,11:00,2,E:Q7JIU8Y9PK - 1_W32
"School of History, Classics and Archaeology",HIST10380,E:Q7JIU8Y9PK - 1,Seminar,110,25.0,Thursday 11:00,9,30,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,11:00,2,E:Q7JIU8Y9PK - 1_W30
"School of History, Classics and Archaeology",HIST10380,E:Q7JIU8Y9PK - 1,Seminar,110,25.0,Thursday 11:00,9,29,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,11:00,2,E:Q7JIU8Y9PK - 1_W29
"School of History, Classics and Archaeology",HIST10380,E:Q7JIU8Y9PK - 1,Seminar,110,25.0,Thursday 11:00,9,28,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,11:00,2,E:Q7JIU8Y9PK - 1_W28
Edinburgh College of Art,HIAR10103,E:NFQYLBEKF2-00001_Part3,Seminar,480,25.0,Friday 09:00,1,36,0551_01_1.26,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,09:00,2,E:NFQYLBEKF2-00001_W36_Part3
Moray House School of Education and Sport,EDUA11248,E:1UOXNWAFDQ,Workshop,120,25.0,Friday 10:00,9,14,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,10:00,2,E:1UOXNWAFDQ_W14
Moray House School of Education and Sport,EDUA11248,E:1UOXNWAFDQ,Workshop,120,25.0,Friday 10:00,9,13,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,10:00,2,E:1UOXNWAFDQ_W13
Moray House School of Education and Sport,EDUA11248,E:1UOXNWAFDQ,Workshop,120,25.0,Friday 10:00,9,12,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,10:00,2,E:1UOXNWAFDQ_W12
Moray House School of Education and Sport,EDUA11248,E:1UOXNWAFDQ,Workshop,120,25.0,Friday 10:00,9,11,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,10:00,2,E:1UOXNWAFDQ_W11
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,26,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W26
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,19,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W19
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,18,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W18
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,17,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W17
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,16,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W16
Moray House School of Education and Sport,EDUA11413,E:Y322P1U727,Workshop,110,25.0,Thursday 09:00,8,16,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,09:00,2,E:Y322P1U727_W16
Moray House School of Education and Sport,EDUA11413,E:Y322P1U727,Workshop,110,25.0,Thursday 09:00,8,14,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,09:00,2,E:Y322P1U727_W14
Moray House School of Education and Sport,EDUA11413,E:Y322P1U727,Workshop,110,25.0,Thursday 09:00,8,13,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,09:00,2,E:Y322P1U727_W13
Moray House School of Education and Sport,EDUA11413,E:Y322P1U727,Workshop,110,25.0,Thursday 09:00,8,12,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,09:00,2,E:Y322P1U727_W12
Moray House School of Education and Sport,EDUA11413,E:Y322P1U727,Workshop,110,25.0,Thursday 09:00,8,11,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,09:00,2,E:Y322P1U727_W11
Moray House School of Education and Sport,EDUA11413,E:Y322P1U727,Workshop,110,25.0,Thursday 09:00,8,10,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,09:00,2,E:Y322P1U727_W10
Moray House School of Education and Sport,EDUA11048,E:H8MJUF75W5,Workshop,110,25.0,Thursday 11:00,9,12,0553_04_422,Centrally Allocated Space,General Teaching,St Johns Land,Holyrood,Thursday,11:00,2,E:H8MJUF75W5_W12
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,13,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W13
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,12,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W12
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,11,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W11
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,10,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W10
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,9,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W9
Moray House School of Education and Sport,EDUA11248,E:1UOXNWAFDQ,Workshop,120,25.0,Friday 10:00,9,19,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,10:00,2,E:1UOXNWAFDQ_W19
Moray House School of Education and Sport,EDUA11284,E:JW3MB8LDHX,Lecture,170,25.0,Tuesday 11:00,9,36,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,3,E:JW3MB8LDHX_W36
Moray House School of Education and Sport,EDUA11284,E:JW3MB8LDHX,Lecture,170,25.0,Tuesday 11:00,9,35,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,3,E:JW3MB8LDHX_W35
Moray House School of Education and Sport,EDUA11284,E:JW3MB8LDHX,Lecture,170,25.0,Tuesday 11:00,9,34,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,3,E:JW3MB8LDHX_W34
Moray House School of Education and Sport,EDUA11284,E:JW3MB8LDHX,Lecture,170,25.0,Tuesday 11:00,9,33,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,3,E:JW3MB8LDHX_W33
Moray House School of Education and Sport,EDUA11284,E:JW3MB8LDHX,Lecture,170,25.0,Tuesday 11:00,9,32,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,3,E:JW3MB8LDHX_W32
Moray House School of Education and Sport,EDUA11284,E:JW3MB8LDHX,Lecture,170,25.0,Tuesday 11:00,9,30,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,3,E:JW3MB8LDHX_W30
Moray House School of Education and Sport,EDUA11284,E:JW3MB8LDHX,Lecture,170,25.0,Tuesday 11:00,9,29,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,3,E:JW3MB8LDHX_W29
Moray House School of Education and Sport,EDUA11413,E:Y322P1U727,Workshop,110,25.0,Thursday 09:00,8,18,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,09:00,2,E:Y322P1U727_W18
Moray House School of Education and Sport,EDUA11413,E:Y322P1U727,Workshop,110,25.0,Thursday 09:00,8,17,0555_01_1.15,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Thursday,09:00,2,E:Y322P1U727_W17
Moray House School of Education and Sport,EDUA11282,E:AR4VM5OABK,Workshop,110,25.0,Tuesday 10:00,1,35,0555_02_2.1,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Tuesday,10:00,2,E:AR4VM5OABK_W35
Moray House School of Education and Sport,EDUA11248,E:6MWOXEYKJ3,Workshop,110,25.0,Tuesday 13:00,9,14,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,2,E:6MWOXEYKJ3_W14
Moray House School of Education and Sport,EDUA11248,E:6MWOXEYKJ3,Workshop,110,25.0,Tuesday 13:00,9,13,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,2,E:6MWOXEYKJ3_W13
Moray House School of Education and Sport,EDUA11248,E:6MWOXEYKJ3,Workshop,110,25.0,Tuesday 13:00,9,12,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,2,E:6MWOXEYKJ3_W12
Moray House School of Education and Sport,EDUA11248,E:6MWOXEYKJ3,Workshop,110,25.0,Tuesday 13:00,9,11,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,2,E:6MWOXEYKJ3_W11
Moray House School of Education and Sport,EDUA11248,E:6MWOXEYKJ3,Workshop,110,25.0,Tuesday 13:00,9,10,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,2,E:6MWOXEYKJ3_W10
Moray House School of Education and Sport,EDUA11329,E:GOQAEXSE7O,Workshop,120,25.0,Thursday 10:00,8,18,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,2,E:GOQAEXSE7O_W18
Moray House School of Education and Sport,EDUA11329,E:GOQAEXSE7O,Workshop,120,25.0,Thursday 10:00,8,17,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,2,E:GOQAEXSE7O_W17
Moray House School of Education and Sport,EDUA11329,E:GOQAEXSE7O,Workshop,120,25.0,Thursday 10:00,8,15,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,2,E:GOQAEXSE7O_W15
Moray House School of Education and Sport,EDUA11329,E:GOQAEXSE7O,Workshop,120,25.0,Thursday 10:00,8,14,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,2,E:GOQAEXSE7O_W14
Moray House School of Education and Sport,EDUA11329,E:GOQAEXSE7O,Workshop,120,25.0,Thursday 10:00,8,13,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,2,E:GOQAEXSE7O_W13
Moray House School of Education and Sport,EDUA11284,E:JW3MB8LDHX,Lecture,170,25.0,Tuesday 11:00,9,28,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,3,E:JW3MB8LDHX_W28
Moray House School of Education and Sport,EDUA11284,E:JW3MB8LDHX,Lecture,170,25.0,Tuesday 11:00,9,26,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,3,E:JW3MB8LDHX_W26
Moray House School of Education and Sport,EDUA08100,E:92CF9N1MIF-00002,Workshop,110,25.0,Tuesday 13:00,5,35,0564_02_2.14,Centrally Allocated Space,General Teaching,St Leonards Land,Holyrood,Tuesday,13:00,2,E:92CF9N1MIF-00002_W35
Moray House School of Education and Sport,EDUA08100,E:92CF9N1MIF-00002,Workshop,110,25.0,Tuesday 13:00,5,34,0564_02_2.14,Centrally Allocated Space,General Teaching,St Leonards Land,Holyrood,Tuesday,13:00,2,E:92CF9N1MIF-00002_W34
Moray House School of Education and Sport,EDUA08100,E:92CF9N1MIF-00002,Workshop,110,25.0,Tuesday 13:00,5,32,0564_02_2.14,Centrally Allocated Space,General Teaching,St Leonards Land,Holyrood,Tuesday,13:00,2,E:92CF9N1MIF-00002_W32
Moray House School of Education and Sport,EDUA11040,E:XPCK1SQIWG,Tutorial,50,25.0,Tuesday 15:00,10,15,0551_00_G37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,15:00,1,E:XPCK1SQIWG_W15
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,36,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W36
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,35,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W35
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,34,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W34
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,33,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W33
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,32,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W32
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,30,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W30
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,29,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W29
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,28,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W28
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,27,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W27
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,26,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W26
Moray House School of Education and Sport,EDUA08100,E:92CF9N1MIF-00002,Workshop,110,25.0,Tuesday 13:00,5,30,0564_02_2.14,Centrally Allocated Space,General Teaching,St Leonards Land,Holyrood,Tuesday,13:00,2,E:92CF9N1MIF-00002_W30
Moray House School of Education and Sport,EDUA08100,E:92CF9N1MIF-00002,Workshop,110,25.0,Tuesday 13:00,5,29,0564_02_2.14,Centrally Allocated Space,General Teaching,St Leonards Land,Holyrood,Tuesday,13:00,2,E:92CF9N1MIF-00002_W29
Moray House School of Education and Sport,EDUA11248,E:6MWOXEYKJ3,Workshop,110,25.0,Tuesday 13:00,9,19,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,2,E:6MWOXEYKJ3_W19
Moray House School of Education and Sport,EDUA11248,E:6MWOXEYKJ3,Workshop,110,25.0,Tuesday 13:00,9,18,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,2,E:6MWOXEYKJ3_W18
Moray House School of Education and Sport,EDUA11248,E:6MWOXEYKJ3,Workshop,110,25.0,Tuesday 13:00,9,17,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,2,E:6MWOXEYKJ3_W17
Moray House School of Education and Sport,EDUA11248,E:6MWOXEYKJ3,Workshop,110,25.0,Tuesday 13:00,9,15,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,2,E:6MWOXEYKJ3_W15
Moray House School of Education and Sport,EDUA11329,E:GOQAEXSE7O,Workshop,120,25.0,Thursday 10:00,8,10,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,2,E:GOQAEXSE7O_W10
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,36,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W36
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,35,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W35
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,34,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W34
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,33,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W33
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,32,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W32
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,30,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W30
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,29,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W29
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,28,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W28
Moray House School of Education and Sport,EDUA11282,E:NO68OJR8EW,Workshop,110,25.0,Wednesday 09:00,10,27,0558_05_5.11,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,09:00,2,E:NO68OJR8EW_W27
Moray House School of Education and Sport,EDUA08104,E:VJATVJBQ6Z-00001,Seminar,50,25.0,Monday 14:00,3,26,0551_01_1.19,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,14:00,1,E:VJATVJBQ6Z-00001_W26
Moray House School of Education and Sport,EDUA08104,E:XIWXQNPQT6,Seminar,60,25.0,Thursday 11:30,8,18,0558_04_4.4,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Thursday,11:30,1,E:XIWXQNPQT6_W18
Moray House School of Education and Sport,EDUA08104,E:XIWXQNPQT6,Seminar,60,25.0,Thursday 11:30,8,17,0558_04_4.4,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Thursday,11:30,1,E:XIWXQNPQT6_W17
Moray House School of Education and Sport,EDUA08104,E:XIWXQNPQT6,Seminar,60,25.0,Thursday 11:30,8,16,0558_04_4.4,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Thursday,11:30,1,E:XIWXQNPQT6_W16
Moray House School of Education and Sport,EDUA08104,E:XIWXQNPQT6,Seminar,60,25.0,Thursday 11:30,8,15,0558_04_4.4,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Thursday,11:30,1,E:XIWXQNPQT6_W15
Moray House School of Education and Sport,EDUA11414,E:P2E8SOIJ8T,Workshop,110,25.0,Wednesday 14:00,11,37,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,14:00,2,E:P2E8SOIJ8T_W37
Moray House School of Education and Sport,EDUA08104,E:XIWXQNPQT6,Seminar,60,25.0,Thursday 11:30,8,11,0558_04_4.4,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Thursday,11:30,1,E:XIWXQNPQT6_W11
Moray House School of Education and Sport,EDUA08104,E:XIWXQNPQT6,Seminar,60,25.0,Thursday 11:30,8,10,0558_04_4.4,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Thursday,11:30,1,E:XIWXQNPQT6_W10
Moray House School of Education and Sport,EDUA08119,E:R65H158FKF,Seminar,110,25.0,Tuesday 11:00,2,27,0551_-1_LG34,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,2,E:R65H158FKF_W27
Moray House School of Education and Sport,EDUA08119,E:R65H158FKF,Seminar,110,25.0,Tuesday 11:00,2,26,0551_-1_LG34,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,11:00,2,E:R65H158FKF_W26
Moray House School of Education and Sport,EDUA08118,E:JOWRF6MGSQ,Seminar,120,25.0,Wednesday 10:00,4,27,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,10:00,2,E:JOWRF6MGSQ_W27
Moray House School of Education and Sport,EDUA08118,E:JOWRF6MGSQ,Seminar,120,25.0,Wednesday 10:00,4,26,0558_03_3.13,Centrally Allocated Space,General Teaching,Charteris Land,Holyrood,Wednesday,10:00,2,E:JOWRF6MGSQ_W26
Moray House School of Education and Sport,EDUA11440,E:AC964SLJFZ,Workshop,110,25.0,Tuesday 09:00,8,18,0551_00_G21,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,09:00,2,E:AC964SLJFZ_W18
Moray House School of Education and Sport,EDUA11440,E:AC964SLJFZ,Workshop,110,25.0,Tuesday 09:00,8,17,0551_00_G21,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,09:00,2,E:AC964SLJFZ_W17
Moray House School of Education and Sport,EDUA11440,E:AC964SLJFZ,Workshop,110,25.0,Tuesday 09:00,8,16,0551_00_G21,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,09:00,2,E:AC964SLJFZ_W16
Moray House School of Education and Sport,EDUA11440,E:AC964SLJFZ,Workshop,110,25.0,Tuesday 09:00,8,14,0551_00_G21,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,09:00,2,E:AC964SLJFZ_W14
Moray House School of Education and Sport,EDUA11440,E:AC964SLJFZ,Workshop,110,25.0,Tuesday 09:00,8,13,0551_00_G21,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,09:00,2,E:AC964SLJFZ_W13
Moray House School of Education and Sport,EDUA11440,E:AC964SLJFZ,Workshop,110,25.0,Tuesday 09:00,8,12,0551_00_G21,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,09:00,2,E:AC964SLJFZ_W12
Moray House School of Education and Sport,EDUA11440,E:AC964SLJFZ,Workshop,110,25.0,Tuesday 09:00,8,11,0551_00_G21,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,09:00,2,E:AC964SLJFZ_W11
Moray House School of Education and Sport,EDUA11440,E:AC964SLJFZ,Workshop,110,25.0,Tuesday 09:00,8,10,0551_00_G21,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,09:00,2,E:AC964SLJFZ_W10
Moray House School of Education and Sport,EDUA11329,E:GOQAEXSE7O,Workshop,120,25.0,Thursday 10:00,8,12,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,2,E:GOQAEXSE7O_W12
Moray House School of Education and Sport,EDUA11329,E:GOQAEXSE7O,Workshop,120,25.0,Thursday 10:00,8,11,0551_01_1.37,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,10:00,2,E:GOQAEXSE7O_W11
Moray House School of Education and Sport,EDUA11257,E:LVQSX5OK24,Workshop,110,25.0,Monday 11:00,8,15,0555_02_2.1,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Monday,11:00,2,E:LVQSX5OK24_W15
Moray House School of Education and Sport,EDUA11257,E:LVQSX5OK24,Workshop,110,25.0,Monday 11:00,8,14,0555_02_2.1,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Monday,11:00,2,E:LVQSX5OK24_W14
