Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus,Day,Start_Time,Time_Blocks,Session_ID
Centre for Open Learning,,E:F8VJQYNJ9B-00003_Part4,Activity,570,240.0,Sunday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Sunday,00:00,1,E:F8VJQYNJ9B-00003_W19_Part4
Moray House School of Education and Sport,EDUA11329,E:MLIJMHK2HR-00005,Lecture,50,240.0,Wednesday 15:00,5,30,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,15:00,1,E:MLIJMHK2HR-00005_W30
Moray House School of Education and Sport,EDUA11329,E:MLIJMHK2HR-00005,Lecture,50,240.0,Wednesday 15:00,5,36,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,15:00,1,E:MLIJMHK2HR-00005_W36
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part1,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part1
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part2,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part2
Centre for Open Learning,,E:F8VJQYNJ9B-00001_Part4,Activity,590,240.0,Friday 14:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,14:00,1,E:F8VJQYNJ9B-00001_W19_Part4
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part7,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part7
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part5,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part5
Centre for Open Learning,,E:F8VJQYNJ9B-00002_Part6,Activity,1410,240.0,Saturday 00:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Saturday,00:00,3,E:F8VJQYNJ9B-00002_W19_Part6
Moray House School of Education and Sport,EDUA11329,E:MOWVPQJU8B,Lecture,50,225.0,Wednesday 15:00,1,15,0551_01_1.18,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,15:00,1,E:MOWVPQJU8B_W15
Moray House School of Education and Sport,EDUA11329,E:D5IEITO3BH,Lecture,50,225.0,Wednesday 15:00,1,18,0555_00_G.1,Centrally Allocated Space,General Teaching,Thomsons Land,Holyrood,Wednesday,15:00,1,E:D5IEITO3BH_W18
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,11,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W11
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,10,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W10
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,13,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W13
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,15,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W15
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK,Lecture,180,200.0,Thursday 09:00,5,6,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK_W6
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK,Lecture,180,200.0,Thursday 09:00,5,10,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK_W10
Moray House School of Education and Sport,EDUA08045,E:61LY4VACOD_Part3,Other,410,200.0,Tuesday 13:00,1,36,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,1,E:61LY4VACOD_W36_Part3
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,9,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W9
Moray House School of Education and Sport,EDUA08045,E:61LY4VACOD_Part2,Other,410,200.0,Tuesday 13:00,1,36,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,3,E:61LY4VACOD_W36_Part2
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,14,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W14
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,18,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W18
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,17,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W17
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,13,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W13
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,10,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W10
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,12,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W12
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,15,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W15
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,9,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W9
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK,Lecture,180,200.0,Thursday 09:00,5,9,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK_W9
School of Informatics,INFR08031,E:6TIMUORHUB,Lecture,50,200.0,Thursday 14:00,1,9,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,14:00,1,E:6TIMUORHUB_W9
Moray House School of Education and Sport,EDUA11289,E:I7E65UWTFQ,Lecture,180,200.0,Thursday 09:00,1,14,0591_-1_B1.11,Centrally Allocated Space,General Teaching,Outreach Centre,Holyrood,Thursday,09:00,3,E:I7E65UWTFQ_W14
