,Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus
10018,School of Neurological and Cardiovascular Sciences,BIME09004_SV1_SEM1_2024/5,E:AMLRIV5TQG,Tutorial,50,10.0,Friday 16:00,1,16,0113_00_G.202B,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10019,School of Neurological and Cardiovascular Sciences,NEBM10028_SS1_SB13_2024/5,E:VMDVU2RU8D-00003,Lecture,60,77.0,Wednesday 09:30,1,16,0210_00_G.04,Centrally Allocated Space,General Teaching,Robson Building,Central
10021,School of Neurological and Cardiovascular Sciences,MSBM08002_SS1_SEM1_2024/5,E:Y34XX1VHGY,Oral Presentation,240,40.0,Tuesday 09:00,1,16,0113_01M_01M.469,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10024,School of Neurological and Cardiovascular Sciences,BIME10035_SS1_SEM1_2024/5,E:CAG7TRQIYJ,Seminar,170,28.0,Monday 14:00,1,16,0113_01M_01M.473,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10025,School of Neurological and Cardiovascular Sciences,BIME09004_SV1_SEM1_2024/5,E:2U9BIFSQHF,Tutorial,50,10.0,Friday 16:00,1,16,0113_01M_01M.474,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10026,School of Neurological and Cardiovascular Sciences,BIME10035_SS1_SEM1_2024/5,E:BP7CQQTZEB,Seminar,170,28.0,Tuesday 14:00,1,16,0113_01_1.416,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10027,Business School,BUST08030_SS1_SEM1_2024/5,E:UNBCT5WAE8,Lecture,110,180.0,Monday 09:00,3,"17, 18, 19",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10028,School of Neurological and Cardiovascular Sciences,BIME09004_SV1_SEM1_2024/5,E:L6W82W4VWT,Tutorial,50,10.0,Friday 16:00,1,16,0113_00_G.205,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10034,School of Population Health Sciences,"PUHR11085_SS1_SB1_2024/5, PUHR11033_SS1_SB2_2024/5, PUHR11032_SS1_SB1_2024/5, PUHR11001_SS1_SEM1_2024/5, PUHR11050_SV1_SB1_2024/5, PUHR11115_SS1_SB3_2024/5, PUHR11016_SS1_SEM2_2024/5, PUHR11038_SS1_SB2_2024/5",E:G7KK8JPQVX,Jointly Taught Seminar,110,50.0,Tuesday 14:00,1,16,0226_-1_LG.19,Locally Allocated Space,General Teaching,Business School,Central
10035,School of Social and Political Science,"SCWR11039_SS1_SEM1_2024/5, SCWR10035_SS1_SEM1_2024/5",E:JEDXHD11J2,Lecture,110,48.0,Tuesday 11:00,1,16,0225_02_2.201,Centrally Allocated Space,General Teaching,Gordon Aikman Lecture Theatre,Central
10036,Business School,BUST10153_SV1_SEM1_2024/5,E:O1DBSGCAH5,Lecture,50,90.0,Wednesday 15:00,2,"11, 17",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10037,School of Social and Political Science,PLIT10133_SV1_SEM1_2024/5,E:Y5DIR6OQ7P,Tutorial,50,30.0,Tuesday 14:00,1,16,0313_00_G.10,Centrally Allocated Space,General Teaching,Old Surgeons Hall,Central
10039,School of Social and Political Science,SCPL10043_SV1_SEM1_2024/5,E:DLAURWPCLU,Seminar,170,45.0,Monday 14:00,1,16,0112_00_G.02,Centrally Allocated Space,General Teaching,Chrystal MacMillan Building,Central
10040,Business School,CMSE11581_SS1_SB2_2024/5,E:2MV94KYFQZ,Seminar,110,33.0,Monday 11:00,1,17,0226_-1_LG.10,Locally Allocated Space,General Teaching,Business School,Central
10041,Business School,BUST08028_SV1_SEM1_2024/5,E:FH44E6PJ6G,Tutorial,50,15.0,Wednesday 11:00,1,17,0008_-1_B.153,Centrally Allocated Space,General Teaching,Minto House,Central
10042,Business School,CMSE11244_SS1_SEM1_2024/5,E:AVTE9VYDGT,Tutorial,120,60.0,Thursday 09:00,1,17,0226_-1_LG.11,Locally Allocated Space,General Teaching,Business School,Central
10043,Business School,BUST08052_SS1_SEM1_2024/5,E:UHT4LHIY5U,Tutorial,110,25.0,Wednesday 10:00,1,17,0113_01_1.416,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10045,Business School,BUST08005_SV1_SEM1_2024/5,E:1QPA7LAYVM,Lecture,110,148.0,Monday 09:00,2,"10, 15",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10046,Business School,CMSE11392_SS1_YR_2024/5,E:YNUWSL4U8W,Workshop,180,30.0,Wednesday 14:00,1,17,0226_01_1.02,Locally Allocated Space,General Teaching,Business School,Central
10048,Business School,CMSE11553_SS1_SB2_2024/5,E:8558L66HCY,Lecture,110,80.0,Tuesday 12:00,1,17,0450_02_2.35,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10049,Business School,CMSE11581_SS1_SB2_2024/5,E:9TM57NA3JC,Seminar,110,32.0,Monday 16:00,1,17,0226_-1_LG.11,Locally Allocated Space,General Teaching,Business School,Central
10052,Business School,CMSE11392_SS1_YR_2024/5,E:5B3FY7OGWZ,Workshop,180,30.0,Wednesday 10:00,1,17,0226_01_1.02,Locally Allocated Space,General Teaching,Business School,Central
10053,Business School,BUST10149_SV1_SEM1_2024/5,E:6M37GSUIJ3,Seminar,80,120.0,Monday 16:00,1,17,0335_00_G.01,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10054,Business School,CMSE11632_SS1_SEM1_2024/5,E:O6IMK2HP2H,Lecture,110,85.0,Monday 12:00,8,"9, 10, 11, 12, 13, 15, 16, 17",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10057,Business School,CMSE11631_SS1_SEM1_2024/5,E:HHQC6HKEXH,Oral Presentation,180,85.0,Friday 14:00,1,17,0226_00_GF.14,Locally Allocated Space,General Teaching,Business School,Central
10058,Business School,CMSE10002_SV1_SEM1_2024/5,E:DB171MFMK1-00001,Q&A Session,110,350.0,Tuesday 11:00,1,17,0225_02_2.201,Centrally Allocated Space,General Teaching,Gordon Aikman Lecture Theatre,Central
10063,Moray House School of Education and Sport,SPRT10055_SV1_SEM1_2024/5,E:X2JFBZ24C5,Seminar,30,6.0,Thursday 12:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0227_03_3.30,Centrally Allocated Space,General Teaching,50 George Square,Central
10070,Edinburgh College of Art,HIAR08025_SV1_SEM1_2024/5,E:HWWSJUSYUA,Lecture,50,300.0,Friday 10:00,1,17,0229_01_1.A,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
10077,Edinburgh College of Art,MUSI10016_SS1_YR_2024/5,E:1MX9MTS5X8,Presentation,210,25.0,Friday 13:00,1,17,0335_02_2.1,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10082,Edinburgh College of Art,ARTX09073_SS1_YR_2024/5,E:O1JVBPMB5W,Seminar set 1,240,15.0,Friday 09:00,1,17,0008_-1_B.154,Centrally Allocated Space,General Teaching,Minto House,Central
10083,Edinburgh College of Art,ARCH08049_SV1_SEM1_2024/5,E:VBKJ5QFD6T,Seminar,110,20.0,Thursday 14:00,1,17,0113_01_1.42,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10090,Edinburgh College of Art,ARTX09073_SS1_YR_2024/5,E:CGM692TQKS,Seminar set 1,240,15.0,Friday 09:00,1,17,0422_J_J.03,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10096,Edinburgh College of Art,ARCH11043_SS1_SB5+_2024/5,E:1XBDIN9SDF,Lecture,50,40.0,Wednesday 12:00,1,17,0008_02_2.403,Centrally Allocated Space,General Teaching,Minto House,Central
10106,Edinburgh College of Art,ARTX09073_SS1_YR_2024/5,E:OLPQ11XUXH,Seminar set 1,240,15.0,Friday 09:00,1,17,0422_J_J.05,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10108,Edinburgh College of Art,ARCH11262_SV1_SEM1_2024/5,E:8JRUEZQWH1,Seminar set 1,120,50.0,Thursday 10:00,1,17,0311_02_2.13,Centrally Allocated Space,General Teaching,Geography (Old Infirmary),Central
10122,Edinburgh Futures Institute,EFIE11023_SS1_SEM1_2024/5,E:IE3EB1XFGX,Breakout,120,36.0,Wednesday 10:00,1,17,0450_01_1.63,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10123,Edinburgh Futures Institute,EFIE11023_SS1_SEM1_2024/5,E:8R65NWIP3S,Breakout,120,36.0,Wednesday 10:00,1,17,0450_03_3.32,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10145,Business School,CMSE11471_SS1_SEM2_2024/5,E:JJP1BZVE2H,Lecture,110,50.0,Wednesday 16:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10174,Edinburgh Futures Institute,EFIE11191_SV1_SEM1_2024/5,E:R6496NDW4Z,Lecture,480,30.0,Monday 09:00,1,17,0450_01_1.63,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10175,Edinburgh Futures Institute,EFIE11023_SS1_SEM1_2024/5,E:IBTQ7HUWGP,Breakout,120,48.0,Wednesday 10:00,1,17,0450_01_1.62,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10179,Edinburgh Futures Institute,EFIE11306_SV1_SEM1_2024/5,E:8XZR5M523P,Lecture,480,36.0,Thursday 09:00,1,17,0450_01_1.63,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10182,Edinburgh Futures Institute,EFIE11023_SS1_SEM1_2024/5,E:JYURPL9JFQ,Breakout,120,30.0,Wednesday 10:00,1,17,0450_03_3.43,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10187,Edinburgh Futures Institute,EFIE11306_SV1_SEM1_2024/5,E:8XZR5M523P-00001,Lecture,480,36.0,Friday 09:00,1,17,0450_01_1.63,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10190,Business School,BUST08030_SS1_SEM1_2024/5,E:BLK9PWD426,Lecture,110,180.0,Monday 09:00,2,"9, 11",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10191,Business School,ACCN08009_SV1_SEM1_2024/5,E:T8RA7WO5FX,Lecture,50,100.0,Thursday 11:00,6,"9, 11, 13, 15, 17, 19",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10195,Business School,BUST08005_SV1_SEM1_2024/5,E:149GGD3QG7,Lecture,110,148.0,Monday 09:00,5,"12, 13, 16, 17, 19",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10207,Business School,BUST10149_SV1_SEM1_2024/5,E:66B3DCQIJ7,Lecture,110,120.0,Monday 11:00,2,"18, 19",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10215,Edinburgh Futures Institute,EFIE11191_SV1_SEM1_2024/5,E:QZLZJ4RCZ2,Lecture,480,30.0,Tuesday 09:00,1,17,0450_01_1.63,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10225,Edinburgh Medical School,MBCH09021_SS1_YR_2024/5,E:QTE6EJMR9L,Tutorial,50,4.0,Monday 14:00,1,17,0335_02_2.1,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10244,Moray House School of Education and Sport,EDUA11425_SV1_SEM2_2024/5,E:F9NW2ABX9P,Lecture,110,30.0,Tuesday 11:00,5,"26, 27, 28, 29, 30",0103_03_3.D02,Centrally Allocated Space,General Teaching,Forresthill,Central
10260,Edinburgh Medical School,MBCH08013_SS1_YR_2024/5,E:5LLOKQ4NZ8,Tutorial,50,20.0,Thursday 14:00,1,17,0113_01M_01M.473,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10265,Edinburgh Medical School,MBCH09021_SS1_YR_2024/5,E:PCDL7H3RYI-00002,Tutorial,50,4.0,Monday 16:00,1,17,0103_01_1.B19,Centrally Allocated Space,General Teaching,Forresthill,Central
10294,Edinburgh Medical School,MBCH09021_SS1_YR_2024/5,E:PCDL7H3RYI,Tutorial,50,4.0,Monday 14:00,1,17,0103_01_1.B19,Centrally Allocated Space,General Teaching,Forresthill,Central
10297,Business School,ACCN08009_SV1_SEM1_2024/5,E:OGIGULQDJH,Lecture,50,100.0,Monday 11:00,4,"9, 11, 13, 17",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10303,Edinburgh Medical School,MBCH08013_SS1_YR_2024/5,E:3N1S15DYQI-00001,Tutorial,80,20.0,Thursday 11:30,1,17,0103_01_1.B19,Centrally Allocated Space,General Teaching,Forresthill,Central
10313,Edinburgh Medical School,MBCH08013_SS1_YR_2024/5,E:PEJ7MW5N86,Tutorial,50,20.0,Thursday 15:00,1,17,0113_01M_01M.473,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10320,Edinburgh Medical School,MBCH08013_SS1_YR_2024/5,E:UNKTKLOSAK-00006,Lecture,50,320.0,Wednesday 09:00,1,17,0229_01_1.A,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
10322,Edinburgh Medical School,MBCH08013_SS1_YR_2024/5,E:3N1S15DYQI,Tutorial,80,20.0,Thursday 10:00,1,17,0103_01_1.B19,Centrally Allocated Space,General Teaching,Forresthill,Central
10324,Edinburgh Medical School,MBCH09021_SS1_YR_2024/5,E:QTE6EJMR9L-00001,Tutorial,50,4.0,Monday 15:00,1,17,0335_02_2.1,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10328,Edinburgh Medical School,MBCH09021_SS1_YR_2024/5,E:6RN8FGZ7LU-00001,Lecture,50,320.0,Tuesday 09:00,1,17,0229_01_1.A,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
10329,Edinburgh Medical School,MBCH09021_SS1_YR_2024/5,E:PCDL7H3RYI-00001,Tutorial,50,4.0,Monday 15:00,1,17,0103_01_1.B19,Centrally Allocated Space,General Teaching,Forresthill,Central
10334,Moray House School of Education and Sport,EDUA11284_SV1_SEM2_2024/5,E:F3J776QWJY,Lecture_&_Workshops,180,35.0,Thursday 10:00,3,"32, 34, 35",0300_00_NG.01,Centrally Allocated Space,General Teaching,High School Yards Teaching Centre,Central
10339,Edinburgh Medical School,MBCH09021_SS1_YR_2024/5,E:QTE6EJMR9L-00002,Tutorial,50,4.0,Monday 16:00,1,17,0335_02_2.1,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10342,Business School,ACCN08007_SS1_SEM1_2024/5,E:SUS1EPYWCT,Lecture,50,153.0,Wednesday 10:00,6,"9, 10, 12, 15, 17, 18",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10346,Moray House School of Education and Sport,EDUA11329_SS1_SEM1_2024/5,E:SKZIV52WA7,Workshop,120,25.0,Thursday 10:00,1,17,0103_01_1.B04,Centrally Allocated Space,General Teaching,Forresthill,Central
10349,Moray House School of Education and Sport,EDUA11329_SS1_SEM1_2024/5,E:ZZWAHM8G55,Workshop,110,25.0,Thursday 14:00,1,17,0209_02_2.37,Centrally Allocated Space,General Teaching,7 George Square,Central
10350,Edinburgh College of Art,DESI10052_SS1_SEM1_2024/5,E:IL9CZK683W,Lecture,50,180.0,Tuesday 13:00,3,"10, 11, 13",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10354,Edinburgh College of Art,ARCH08002_SS1_SEM2_2024/5,E:M91EJNU9M7,Lecture,50,150.0,Monday 11:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10355,Moray House School of Education and Sport,EDUA11248_SV1_SEM1_2024/5,E:WH6PQPPI5P,Lecture,50,350.0,Wednesday 16:00,1,17,0225_02_2.201,Centrally Allocated Space,General Teaching,Gordon Aikman Lecture Theatre,Central
10364,Moray House School of Education and Sport,"EDUA11415_SS1_SEM1_2024/5, EDUA11329_SS1_SEM1_2024/5, EDUA11419_SV1_SEM1_2024/5",E:VX9ZPIMVZA,Lecture,50,100.0,Wednesday 15:00,2,"13, 17",0225_02_2.201,Centrally Allocated Space,General Teaching,Gordon Aikman Lecture Theatre,Central
10384,Moray House School of Education and Sport,EDUA11212_SV1_SEM2_2024/5,E:49HF56ER6V,Workshop,110,20.0,Friday 11:00,3,"29, 33, 35",0335_00_G.13,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10387,Moray House School of Education and Sport,EDUA11248_SV1_SEM1_2024/5,E:G1GF74EWY9,Lecture,50,350.0,Monday 14:00,1,17,0229_01_1.A,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
10490,Edinburgh College of Art,"DESI10061_SV1_SEM1_2024/5, DESI11092_SV1_SEM1_2024/5",E:YSANQLIGMB,Lecture,50,100.0,Thursday 10:00,10,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18",0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10497,Moray House School of Education and Sport,SPRT10055_SV1_SEM1_2024/5,E:5R9WINEUYP,Seminar,30,6.0,Thursday 10:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0227_03_3.30,Centrally Allocated Space,General Teaching,50 George Square,Central
10618,Moray House School of Education and Sport,EDUA11400_SV1_SEM2_2024/5,E:EFM8ZLZFJW,Workshop,110,20.0,Tuesday 11:00,2,"26, 27",0300_00_NG.01,Centrally Allocated Space,General Teaching,High School Yards Teaching Centre,Central
10717,School of Economics,ECNM11081_SS1_SEM1_2024/5,E:S1LG36SCVU,Class Test,110,4.0,Tuesday 12:00,1,17,0254_01_1.01,Centrally Allocated Space,General Teaching,24 Buccleuch Place,Central
10719,School of Economics,"ECNM08013_SV1_YR_2024/5, ECNM08014_VV1_SEM1_2024/5",E:W3FNSOMSJJ,Workshop,180,20.0,Thursday 18:00,1,17,0335_00_G.01,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10720,School of Economics,ECNM11081_SS1_SEM1_2024/5,E:KAJZIR7VLV,Class Test,120,4.0,Thursday 10:00,1,17,0254_01_1.01,Centrally Allocated Space,General Teaching,24 Buccleuch Place,Central
10721,School of Economics,"ECNM10085_SV1_SEM1_2024/5, ECNM11072_SV1_SEM1_2024/5, ECNM10085_VV1_SEM1_2024/5, ECNM11073_SV1_SEM1_2024/5",E:1J256AGD51,Tutorial,110,38.0,Thursday 13:00,1,17,0335_00_G.13,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10727,Moray House School of Education and Sport,EDUA11248_SV1_SEM1_2024/5,E:OWEHBHDLX9,Lecture,50,350.0,Monday 14:00,5,"12, 13, 14, 15, 16",0229_01_1.A,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
10729,Moray House School of Education and Sport,EDUA11248_SV1_SEM1_2024/5,E:QTZHB1YZMU-00004,Lecture,50,250.0,Monday 14:00,2,"10, 11",0229_01_1.C,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
10738,"School of Literatures, Languages and Cultures","ELCF10002_SV1_YR_2024/5, ELCF09032_SV1_YR_2024/5",E:KJNGN3Y9CJ,Lecture,50,120.0,Monday 15:00,1,9,0103_01_1.B00,Centrally Allocated Space,General Teaching,Forresthill,Central
10786,School of Health in Social Science,SHSS11005_SV1_SEM1_2024/5,E:C9ION6RQWV-00002,Lecture,110,40.0,Wednesday 13:00,1,17,0113_01_1.434,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10788,School of Health in Social Science,SHSS11009_SV1_SEM1_2024/5,E:S7LGNAMVDE-00002,Lecture,110,25.0,Tuesday 11:00,1,17,0001_01_1.273,Centrally Allocated Space,General Teaching,Old College,Central
10789,School of Health in Social Science,"NUST11095_SS1_YR_2024/5, NUST11096_SS1_YR_2024/5",E:R7MKPL8JBI,Lecture,110,45.0,Monday 10:00,1,17,0201_02_2.14,Centrally Allocated Space,General Teaching,Appleton Tower,Central
10792,School of Health in Social Science,NUST10054_SS1_SEM1_2024/5,E:LLL6XXJZZ6,Class Test set 1,110,45.0,Monday 11:00,1,17,0335_04_4.3,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10793,School of Health in Social Science,CLPS11037_SV1_SEM1_2024/5,E:EVEBPUSPZN,Lecture,120,60.0,Tuesday 09:00,1,17,0335_04_4.3,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10797,School of Health in Social Science,CNST08002_SV1_SEM1_2024/5,E:8L6257I9T3,Tutorial,50,15.0,Thursday 14:00,1,17,0335_03_3.4,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10804,School of Informatics,INFR10067_SV1_SEM1_2024/5,E:TIGKYJQJLY-00001,Lecture,50,75.0,Friday 10:00,1,17,0227_00_G.04,Centrally Allocated Space,General Teaching,50 George Square,Central
10806,School of Law,LAWS11310_SS1_SB13_2024/5,E:5KPJSTGNGU,Practical,110,,Thursday 11:00,1,17,0001_01_1.267,Centrally Allocated Space,General Teaching,Old College,Central
10808,School of Law,LAWS11310_SS1_SB13_2024/5,E:4Z2HXNUKWW,Practical,50,14.0,Monday 13:00,1,17,0001_01_1.265,Centrally Allocated Space,General Teaching,Old College,Central
10809,School of Law,LAWS11024_SV1_YR_2024/5,E:8EUC8IVTSM-00002,Seminar,110,25.0,Friday 09:00,1,17,0335_00_G.09,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10810,School of Law,LAWS11310_SS1_SB13_2024/5,E:ILYDTKFHMQ-00006,Practical,180,2.0,Monday 18:00,1,17,0001_02_2.349,Centrally Allocated Space,General Teaching,Old College,Central
10815,School of Law,LAWS08144_SV1_YR_2024/5,E:EKKAZHPNE5,Workshop,110,12.0,Monday 13:00,1,17,0450_01_1.62,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
10816,School of Law,LAWS10156_SV1_SEM1_2024/5,E:R1AWLXWJ57,Seminar,110,30.0,Thursday 16:00,1,17,0003_00_G.02,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
10817,School of Law,LAWS11310_SS1_SB13_2024/5,E:RIQ8HF783Z-00006,Practical,180,2.0,Monday 18:00,1,17,0001_02_2.351,Centrally Allocated Space,General Teaching,Old College,Central
10818,School of Law,"LAWS08134_SV1_SEM1_2024/5, LAWS08134_VV1_SEM1_2024/5",E:MWTY4G4EY5-1,Tutorial,50,12.0,Tuesday 14:00,1,17,0335_01_1.4,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10820,School of Law,LAWS11310_SS1_SB13_2024/5,E:CH8HH7JA2W-00006,Practical,180,2.0,Monday 18:00,1,17,0001_02_2.347,Centrally Allocated Space,General Teaching,Old College,Central
10823,School of Law,LAWS10271_SV1_SEM1_2024/5,E:PXRE3RB13N-00004,Seminar,110,28.0,Thursday 16:00,1,17,0335_03_3.2,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10825,School of Law,LAWS11310_SS1_SB13_2024/5,E:JRTJ6E4Y2U-00006,Practical,180,2.0,Monday 18:00,1,17,0001_02_2.345,Centrally Allocated Space,General Teaching,Old College,Central
10826,School of Law,LAWS11310_SS1_SB13_2024/5,E:5823DQ88GQ-00006,Practical,180,2.0,Monday 18:00,1,17,0001_02_2.343,Centrally Allocated Space,General Teaching,Old College,Central
10827,"School of Literatures, Languages and Cultures",ELCI08001_SV1_YR_2024/5,E:DRTKRBGJ16-00001-00001-00001,Seminar,50,25.0,Thursday 12:00,1,17,0335_01_1.9,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
10832,Moray House School of Education and Sport,REDU11046_SV1_SEM1_2024/5,E:RLOEX5HUUG,Discussion Workshop,90,20.0,Tuesday 10:00,5,"11, 12, 13, 14, 16",0103_01_1.B19,Centrally Allocated Space,General Teaching,Forresthill,Central
10833,"School of Literatures, Languages and Cultures",ASST08057_SV1_SEM1_2024/5,E:4NUPCJ5MDZ,Reading and Writing Tutorial,110,15.0,Thursday 14:00,1,17,0283_01_1.17,Centrally Allocated Space,General Teaching,Dugald Stewart Building,Central
10836,"School of Literatures, Languages and Cultures",ELCC08004_SS1_YR_2024/5,E:X9YOG8WT4O,Seminar,90,14.0,Wednesday 10:00,1,17,0103_01_1.B15,Centrally Allocated Space,General Teaching,Forresthill,Central
10841,"School of Literatures, Languages and Cultures",ASST08078_SV1_YR_2024/5,E:9W2FT3LEM6,NPCR 1 Tutorial,50,30.0,Wednesday 10:00,1,17,0228_-1_LG.10,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
10842,"School of Literatures, Languages and Cultures",ELCI08001_SV1_YR_2024/5,E:NAS95OZ7UT-00001-00001-00001,Seminar,50,25.0,Thursday 14:00,1,17,0227_00_G.04,Centrally Allocated Space,General Teaching,50 George Square,Central
10843,"School of Literatures, Languages and Cultures",ELCI08001_SV1_YR_2024/5,E:PLQTFAI82Z-00001-00001-00001,Seminar,50,25.0,Friday 13:00,1,17,0227_00_G.01,Centrally Allocated Space,General Teaching,50 George Square,Central
10844,"School of Literatures, Languages and Cultures",ELCI08001_SV1_YR_2024/5,E:EO67ID1QTG-00001-00001-00001,Seminar,50,25.0,Friday 11:00,1,17,0311_02_2.05,Centrally Allocated Space,General Teaching,Geography (Old Infirmary),Central
10847,"School of Literatures, Languages and Cultures",IMES11122_SS1_YR_2024/5,E:CE7VA92R2W,Seminar,110,20.0,Wednesday 16:00,1,17,0228_09_9.18,Centrally Allocated Space,General Teaching,40 George Square,Central
10849,School of Neurological and Cardiovascular Sciences,MSBM10011_SS1_YR_2024/5,E:OWXEMJQ4B9-00001,Tutorial,120,15.0,Wednesday 09:00,1,17,0113_00_G.203,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10850,School of Neurological and Cardiovascular Sciences,BIME10020_SS1_SEM1_2024/5,E:L436PFJ1IJ,Seminar,180,25.0,Friday 10:00,1,17,0113_01M_01M.473,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10854,School of Neurological and Cardiovascular Sciences,BIME10011_SS1_SEM1_2024/5,E:DLHDKWAAGG-00001,Tutorial,60,12.0,Monday 09:30,1,17,0113_00_G.202B,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10856,School of Neurological and Cardiovascular Sciences,BIME10011_SS1_SEM1_2024/5,E:DLHDKWAAGG-00002,Tutorial,60,12.0,Monday 10:30,1,17,0113_01M_01M.469,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10858,School of Neurological and Cardiovascular Sciences,BIME10011_SS1_SEM1_2024/5,E:DLHDKWAAGG-00001-00002,Tutorial,60,12.0,Monday 11:30,1,17,0113_00_G.202B,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10859,School of Neurological and Cardiovascular Sciences,BIME10011_SS1_SEM1_2024/5,E:DLHDKWAAGG,Tutorial,60,12.0,Monday 09:30,1,17,0113_01M_01M.469,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10862,School of Neurological and Cardiovascular Sciences,BIME10011_SS1_SEM1_2024/5,E:1M11CNUVEP-00001,Tutorial,60,12.0,Monday 09:30,1,17,0113_01M_01M.474,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
10864,School of Neurological and Cardiovascular Sciences,BIME11149_SS1_SEM1_2024/5,E:EO7XGAR1XB,Seminar,110,35.0,Thursday 14:00,1,17,0422_J_J.03,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
