,Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus
225,Business School,BUST08027_SV1_SEM2_2024/5,E:3XJMXLPYLX,Tutorial,110,12.0,Friday 13:00,5,"27, 28, 29, 30, 32",0252_01_1.2,Centrally Allocated Space,General Teaching,22 Buccleuch Place,Central
226,Business School,CMSE11538_SV1_SB3_2024/5,E:MXW8NPPL6F,Lecture,90,40.0,Tuesday 09:00,4,"27, 28, 29, 30",0226_-1_LG.18,Locally Allocated Space,General Teaching,Business School,Central
228,Business School,BUST08030_SS1_SEM1_2024/5,E:VLMR7J6V6M,Tutorial,110,12.0,Wednesday 13:00,4,"11, 13, 16, 18",0003_01_1.05,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
229,Business School,CMSE11553_SS1_SB2_2024/5,E:HPFBN1MB8L,Lecture,110,80.0,Tuesday 12:00,4,"15, 16, 18, 19",0001_00_G.159,Centrally Allocated Space,General Teaching,Old College,Central
230,Business School,CMSE11498_SV1_SB3_2024/5,E:C42KUJDGFU,Seminar,80,30.0,Friday 10:30,5,"26, 27, 28, 29, 30",0226_-1_LG.10,Locally Allocated Space,General Teaching,Business School,Central
231,Business School,BUST08045_SV1_SEM2_2024/5,E:O39T887DWO,Tutorial,110,24.0,Tuesday 11:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0003_01_1.02,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
234,Business School,BUST10155_SV1_SEM2_2024/5,E:N3E7F4QURW,Lecture,110,140.0,Tuesday 11:00,5,"26, 27, 28, 29, 30",0113_00_G.152,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
236,Business School,CMSE11086_SV1_SEM1_2024/5,E:1MXQMB99QX,Tutorial,50,24.0,Thursday 10:00,7,"11, 12, 13, 15, 16, 17, 18",0226_-1_LG.18,Locally Allocated Space,General Teaching,Business School,Central
237,Business School,CMSE11471_SS1_SEM2_2024/5,E:XUMNGC5HE9,Seminar,50,50.0,Thursday 16:00,5,"32, 33, 34, 35, 36",0228_-1_LG.11,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
239,Business School,CMSE11524_SV1_SEM2_2024/5,E:Z3QULIBIDY,Lecture,110,15.0,Thursday 16:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0226_01_1.07,Locally Allocated Space,General Teaching,Business School,Central
240,Business School,CMSE11652_SS1_SEM2_2024/5,E:PAMPWNGAJM,Lecture,110,55.0,Friday 13:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0226_-1_LG.10,Locally Allocated Space,General Teaching,Business School,Central
241,Business School,BUST10033_SV1_SEM1_2024/5,E:A9OL7TYFHW,Lecture,50,65.0,Wednesday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0226_-1_LG.11,Locally Allocated Space,General Teaching,Business School,Central
242,School of Economics,ECNM10052_SV1_SEM1_2024/5,E:C7RJBCI3TN,Q&A Session,50,20.0,Wednesday 16:00,9,"10, 11, 12, 13, 14, 15, 16, 17, 18",0003_00_G.01,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
243,Business School,BUST10153_SV1_SEM1_2024/5,E:8XDLF5ZN2C,Seminar,110,21.0,Tuesday 11:00,6,"11, 12, 13, 15, 17, 18",0003_01_1.03,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
244,Business School,BUST10153_SV1_SEM1_2024/5,E:1PLGONRXU8,Seminar,110,23.0,Monday 09:00,7,"11, 12, 13, 15, 16, 17, 18",0226_01_1.07,Locally Allocated Space,General Teaching,Business School,Central
246,Business School,BUST08052_SS1_SEM1_2024/5,E:4ML7P8PA58,Lecture,110,200.0,Friday 15:00,2,"9, 10",0113_00_G.152,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
248,Business School,CMSE11560_SV1_SEM2_2024/5,E:A574KW9WS7,Lecture,50,85.0,Wednesday 09:00,9,"26, 27, 28, 29, 30, 32, 33, 35, 36",0226_00_GF.14,Locally Allocated Space,General Teaching,Business School,Central
249,Business School,BUST08052_SS1_SEM1_2024/5,E:8TDBN759QY,Tutorial,110,25.0,Wednesday 13:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0226_01_1.07,Locally Allocated Space,General Teaching,Business School,Central
250,Business School,CMSE11342_SS1_SEM1_2024/5,E:89NDT5X2DC,Lecture,110,90.0,Wednesday 11:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0226_00_GF.14,Locally Allocated Space,General Teaching,Business School,Central
251,Business School,BUST08029_SS1_SEM2_2024/5,E:ECBICJTZXO,Tutorial,50,20.0,Wednesday 09:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0001_01_1.274,Centrally Allocated Space,General Teaching,Old College,Central
252,Business School,CMSE11564_SS1_SB3_2024/5,E:M55JHVTPAV,Lecture,110,60.0,Monday 14:00,5,"26, 27, 28, 29, 30",0335_04_4.3,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
253,Business School,BUST08036_SS1_SEM2_2024/5,E:OEL34I8T3P,Tutorial,50,18.0,Thursday 14:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0201_00_G.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
255,Business School,BUST08055_SV1_SEM1_2024/5,E:ZSLLAGE28C,Seminar,110,30.0,Wednesday 09:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0226_01_1.07,Locally Allocated Space,General Teaching,Business School,Central
256,Business School,BUST08042_SV1_SEM2_2024/5,E:2YTXK9M2AD,Tutorial,50,18.0,Wednesday 15:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0003_00_G.03,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
257,Business School,ACCN08012_SV1_SEM1_2024/5,E:SXA8ROPR2P,Tutorial,50,16.0,Tuesday 09:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0252_01_1.2,Centrally Allocated Space,General Teaching,22 Buccleuch Place,Central
259,Business School,CMSE11086_SV1_SEM1_2024/5,E:KPKAJ6HI1U,Tutorial,50,24.0,Monday 16:00,7,"11, 12, 13, 15, 16, 17, 18",0228_-1_LG.10,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
