Session_ID,Event_ID,Event_Size,Original_Time,Assigned_Time,Assigned_Room,Assigned_Campus,Assigned_Capacity,Penalty,Status
E:G9TSB9WINT_W18,E:G9TSB9WINT,25.0,Thursday 14:00,Thursday 14:00,0335_02_2.1,Central,25,0.0,Scheduled
E:JXKGD3QVHO_W26,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0335_00_G.10,Central,32,7.0,Scheduled
E:JXKGD3QVHO_W27,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0201_00_G.08,Central,193,168.0,Scheduled
E:JXKGD3QVHO_W28,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0201_00_G.08,Central,193,168.0,Scheduled
E:JXKGD3QVHO_W29,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0201_00_G.07,Central,194,169.0,Scheduled
E:JXKGD3QVHO_W30,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0300_00_NG.02,Central,36,11.0,Scheduled
E:Z42B145TJW_W30,E:Z42B145TJW,25.0,Monday 11:00,Monday 11:00,0110_02_2.01,Central,25,0.0,Scheduled
E:IEZWSX84I1_W10,E:IEZWSX84I1,25.0,Monday 16:00,Monday 16:00,0335_01_1.1,Central,25,0.0,Scheduled
E:IEZWSX84I1_W18,E:IEZWSX84I1,25.0,Monday 16:00,Monday 16:00,0113_00_G.14,Central,26,1.0,Scheduled
E:NR2QHWNF13_W17,E:NR2QHWNF13,25.0,Tuesday 11:00,Tuesday 11:00,0422_J_J.03,Central,60,35.0,Scheduled
E:NR2QHWNF13_W18,E:NR2QHWNF13,25.0,Tuesday 11:00,Tuesday 11:00,0450_02_2.55,Central,68,43.0,Scheduled
E:NR2QHWNF13_W19,E:NR2QHWNF13,25.0,Tuesday 11:00,Tuesday 11:00,0110_02_2.01,Central,25,0.0,Scheduled
E:IOKM8Z8Q1B_W9,E:IOKM8Z8Q1B,25.0,Thursday 09:00,Thursday 09:00,0335_03_3.1,Central,25,0.0,Scheduled
E:IOKM8Z8Q1B_W10,E:IOKM8Z8Q1B,25.0,Thursday 09:00,Thursday 09:00,0112_-1_B.06,Central,25,0.0,Scheduled
E:IOKM8Z8Q1B_W11,E:IOKM8Z8Q1B,25.0,Thursday 09:00,Thursday 09:00,0251_01_1.02,Central,28,3.0,Scheduled
E:IOKM8Z8Q1B_W12,E:IOKM8Z8Q1B,25.0,Thursday 09:00,Thursday 09:00,0283_01_1.17,Central,26,1.0,Scheduled
E:IOKM8Z8Q1B_W13,E:IOKM8Z8Q1B,25.0,Thursday 09:00,Thursday 09:00,0283_01_1.17,Central,26,1.0,Scheduled
E:IOKM8Z8Q1B_W14,E:IOKM8Z8Q1B,25.0,Thursday 09:00,Thursday 09:00,0001_01_1.267,Central,26,1.0,Scheduled
E:9NTZRPQ198_W14,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0335_02_2.1,Central,25,0.0,Scheduled
E:9NTZRPQ198_W15,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0110_02_2.01,Central,25,0.0,Scheduled
E:9NTZRPQ198_W16,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0335_02_2.1,Central,25,0.0,Scheduled
E:9NTZRPQ198_W17,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0335_02_2.1,Central,25,0.0,Scheduled
E:9NTZRPQ198_W18,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0335_02_2.1,Central,25,0.0,Scheduled
E:9NTZRPQ198_W19,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0228_04_4.18,Central,25,0.0,Scheduled
