scenario,day,campus_from,campus_to,conflict_count
central_plus_both,Thursday,King's Buildings,New College,136
central_plus_both,Tuesday,New College,King's Buildings,126
central_plus_both,Thursday,Central,Holyrood,123
central_plus_both,Thursday,New College,King's Buildings,117
central_plus_both,Monday,King's Buildings,New College,94
central_plus_both,Thursday,Holyrood,Central,93
central_plus_both,Thursday,New College,Lauriston,93
central_plus_both,Tuesday,Lauriston,New College,83
central_plus_both,Thursday,King's Buildings,Lauriston,69
central_plus_both,Thursday,Lauriston,New College,64
central_plus_both,Tuesday,New College,Lauriston,64
central_plus_both,Tuesday,King's Buildings,New College,58
central_plus_both,Thursday,Lauriston,King's Buildings,54
central_plus_both,Friday,New College,King's Buildings,53
central_plus_both,Monday,Central,Bioquarter,53
central_plus_both,Tuesday,Lauriston,King's Buildings,53
central_plus_both,Tuesday,Central,Bioquarter,50
central_plus_both,Monday,Holyrood,Central,48
central_plus_both,Monday,New College,Lauriston,45
central_plus_both,Friday,Bioquarter,Central,44
central_plus_both,Friday,King's Buildings,New College,44
central_plus_both,Monday,Bioquarter,Central,44
central_plus_both,Tuesday,Central,Holyrood,43
central_plus_both,Wednesday,New College,King's Buildings,43
central_plus_both,Tuesday,King's Buildings,Lauriston,41
central_plus_both,Tuesday,Holyrood,Central,40
central_plus_both,Tuesday,Bioquarter,Central,38
central_plus_both,Thursday,Bioquarter,Central,37
central_plus_both,Friday,New College,Lauriston,35
central_plus_both,Wednesday,King's Buildings,Lauriston,35
central_plus_both,Wednesday,King's Buildings,New College,31
central_plus_both,Thursday,Bioquarter,King's Buildings,30
central_plus_both,Thursday,Central,Bioquarter,30
central_plus_both,Wednesday,Holyrood,Central,28
central_plus_both,Monday,Lauriston,New College,26
central_plus_both,Wednesday,Central,Bioquarter,26
central_plus_both,Friday,Central,Bioquarter,24
central_plus_both,Monday,Lauriston,King's Buildings,24
central_plus_both,Wednesday,Lauriston,King's Buildings,20
central_plus_both,Monday,Central,Holyrood,18
central_plus_both,Thursday,Lauriston,Holyrood,17
central_plus_both,Friday,Holyrood,Central,16
central_plus_both,Monday,King's Buildings,Lauriston,15
central_plus_both,Wednesday,Central,Holyrood,15
central_plus_both,Friday,King's Buildings,Lauriston,13
central_plus_both,Friday,Lauriston,King's Buildings,13
central_plus_both,Thursday,King's Buildings,Bioquarter,13
central_plus_both,Wednesday,Bioquarter,Central,12
central_plus_both,Friday,Lauriston,New College,10
central_plus_both,Wednesday,Lauriston,New College,10
central_plus_both,Wednesday,New College,Lauriston,10
central_plus_both,Friday,Bioquarter,New College,9
central_plus_both,Thursday,Bioquarter,New College,9
central_plus_both,Friday,Central,Holyrood,7
central_plus_both,Friday,King's Buildings,Holyrood,6
central_plus_both,Tuesday,New College,Holyrood,6
central_plus_both,Monday,Holyrood,Lauriston,5
central_plus_both,Tuesday,Bioquarter,King's Buildings,5
central_plus_both,Wednesday,King's Buildings,Bioquarter,5
central_plus_both,Wednesday,New College,Holyrood,5
central_plus_both,Wednesday,Lauriston,Holyrood,3
central_plus_both,Friday,Lauriston,Holyrood,2
central_plus_both,Thursday,Holyrood,Lauriston,2
central_plus_both,Tuesday,Holyrood,King's Buildings,2
central_plus_both,Tuesday,King's Buildings,Bioquarter,2
central_plus_both,Tuesday,King's Buildings,Holyrood,2
central_plus_both,Wednesday,New College,Bioquarter,2
central_plus_both,Friday,Holyrood,King's Buildings,1
central_plus_both,Friday,New College,Bioquarter,1
central_plus_both,Monday,King's Buildings,Bioquarter,1
central_plus_both,Monday,King's Buildings,Holyrood,1
central_plus_both,Thursday,Bioquarter,Western General,1
central_plus_both,Thursday,Holyrood,New College,1
central_plus_both,Tuesday,Holyrood,Lauriston,1
central_plus_both,Tuesday,Holyrood,New College,1
central_plus_both_shift120,Monday,King's Buildings,Central,2783
central_plus_both_shift120,Tuesday,King's Buildings,Central,2772
central_plus_both_shift120,Thursday,King's Buildings,Central,2759
